time,australia,canada,netherlands,newzeland,australia_output,canada_output,netherlands_output,newzeland_output
1980Q1,10.52,14.38,-,15.73,80648,-,54912,-
1980Q2,13.65,12.98,-,14.14,81436,-,54064,-
1980Q3,12.3,10.72,-,13.5,82467,-,53898,-
1980Q4,11.65,14.53,-,14.1,84154,-,54916,-
1981Q1,13.53,17.13,-,14.72,83397,598955,54228,-
1981Q2,16.18,18.57,-,14.49,84846,604542,54382,-
1981Q3,15.49,21.02,-,15.65,85969,600289,53937,-
1981Q4,14.95,16.62,-,16.17,86163,597224,54121,-
1982Q1,17.41,15.35,-,17.16,86665,591335,54490,-
1982Q2,19.47,16.05,-,17.09,86493,585561,53223,16510.02101
1982Q3,16.64,14.32,-,16.79,84956,580418,53696,17558.54915
1982Q4,13.82,10.88,-,16.99,84559,575040,52741,17048.25113
1983Q1,13.23,9.62,-,14.63,83480,583915,52965,16641.08703
1983Q2,13.44,9.32,-,14.82,83261,597297,54396,17324.34922
1983Q3,12.01,9.33,5.67,11.38,86431,603627,55221,17584.33263
1983Q4,10.13,9.55,5.75,11.51,87381,610924,55226,17710.02709
1984Q1,11.86,10.08,6.06,13.54,89905,621643,55790,19115.22669
1984Q2,13.49,11.45,5.72,14.78,90408,632411,55950,18515.76081
1984Q3,11.46,12.45,5.83,15.55,91134,635113,56528,18639.30665
1984Q4,11.59,10.77,5.63,16.21,91932,645857,56704,19006.72122
1985Q1,14.15,10.52,6.9,21.35,93478,654767,57425,19296.78536
1985Q2,15.69,9.67,6.84,23.35,95509,656611,57920,19110.92945
1985Q3,16.06,9.03,5.74,25.78,96729,666777,57498,18831.60843
1985Q4,18.03,9.02,5.77,22.74,96860,678079,59051,19214.06336
1986Q1,17.9,11.03,5.67,22.72,97244,675755,59357,18167.68384
1986Q2,15.06,8.73,5.67,18.21,96889,681683,59856,19598.66692
1986Q3,16.77,8.47,5.44,16.32,97600,683485,59978,20455.9676
